objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
portada,,Grabado de la edición de L'ingénieux hidalgo Don Quichotte de la Manche (Hachette),,Gustave Doré,,1863,Álvaro Tarfe declara no ser Don Quijote el protagonista del de Avellaneda,,París,48.864.716,2.349.014,"<a href=""https://www.cervantesvirtual.com/portales/quijote_banco_imagenes_qbi/ficha_imagen/?id=1241"" target=""_blank"">Biblioteca virtual Cervantes</a>",,,,Image;StillImage,image/jpeg,,,/objects/portada.jpg,/objects/small/portada.jpg,/objects/thumbs/portada.jpg,,
quijote_avellaneda,,"Segundo tomo del ingenioso hidalgo Don Quixote de la Mancha, que contiene su tercera salida : y es la quinta parte de sus aventuras",,Alonso Fernández de Avellaneda,Florencio Sevilla Arroyo,1614,"Segundo tomo del Ingenioso hidalgo don Quijote de la Mancha, que contiene su tercera salida y es la quinta parte de sus aventuras",prosa; impreso,Tarragona,4.111.905,124.544,Biblioteca Nacional (España),sig. R/32541,,1r-1v,,,español,transcripciones,,/objects/small/fIr.jpg,/objects/thumbs/fIr.jpg,,/objects/transcripciones/quijote_avellaneda.html
gdm,,"Análisis de las perspectivas de utilización de las computadoras en el campo bibliográfico y documentario, con el objeto de calcular las posibilidades de utilización y los costos en la República Argentina",,Grupo de Documentación Mecanizada,"Universidad de Buenos Aires, Centro de Investigaciones Bibliotecológica",1969,Apéndice N° I: Resumen de una encuesta sobre automación (sic) de bibliotecas en los Estados Unidos -- Apéndice N° II: Registro de equipos de computación instalados en la República Argentina (hasta el 31 de diciembre de 1968) -- Apéndice N° III: Definición de archivos de entrada - salida y de programas utilizados -- Apéndice N° IV: Bibliografía.,automatización de bibliotecas; control bibliográfico; tecnología computacional; tecnología bibliotecaria,Buenos Aires,,,"<a href=""http://dspace5.filo.uba.ar/handle/filodigital/16938""> Universidad de Buenos Aires, Facultad de Filosofía y Letras</a>",,,,,,español,transcripciones,,/objects/small/gdm.jpg,/objects/thumbs/gdm.jpg,,/objects/transcripciones/gdm.html
f12,gdm,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/f12.jpg,/objects/small/f12.jpg,/objects/thumbs/f12.jpg,folio 12,
f13,gdm,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/f13.jpg,/objects/small/f13.jpg,/objects/thumbs/f13.jpg,folio 12,
f1r_quijote_avellaneda,quijote_avellaneda,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/f1r.jpg,/objects/small/f1r.jpg,/objects/thumbs/f1r.jpg,,
f1v_quijote_avellaneda,quijote_avellaneda,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/f1v.jpg,/objects/small/f1v.jpg,/objects/thumbs/f1v.jpg,,
ebook_quijote_avellaneda,quijote_avellaneda,,,,,,,,,,,,,,,Text,application/epub,,,/objects/ebooks/quijote_avellaneda.epub,,,,
